year,Gender,count,total,share
1956.0,Female,56,751,0.07456724367509987
1956.0,Male,674,751,0.8974700399467377
1956.0,Unknown,21,751,0.02796271637816245
1957.0,Female,61,872,0.06995412844036697
1957.0,Male,794,872,0.9105504587155964
1957.0,Unknown,17,872,0.0194954128440367
1958.0,Female,107,991,0.10797174571140263
1958.0,Male,868,991,0.875882946518668
1958.0,Unknown,16,991,0.016145307769929364
1959.0,Female,59,1197,0.04928989139515455
1959.0,Male,1115,1197,0.9314954051796157
1959.0,Unknown,23,1197,0.01921470342522974
1960.0,Female,118,1302,0.09062980030721966
1960.0,Male,1148,1302,0.8817204301075269
1960.0,Unknown,36,1302,0.027649769585253458
1961.0,Female,72,1285,0.05603112840466926
1961.0,Male,1200,1285,0.933852140077821
1961.0,Unknown,13,1285,0.010116731517509728
1962.0,Female,130,1745,0.07449856733524356
1962.0,Male,1580,1745,0.9054441260744985
1962.0,Unknown,35,1745,0.02005730659025788
1963.0,Female,202,1578,0.12801013941698353
1963.0,Male,1359,1578,0.8612167300380228
1963.0,Unknown,17,1578,0.010773130544993664
1964.0,Female,154,1937,0.07950438822922044
1964.0,Male,1733,1937,0.8946824987093444
1964.0,Unknown,50,1937,0.02581311306143521
1965.0,Female,273,2092,0.13049713193116635
1965.0,Male,1781,2092,0.8513384321223709
1965.0,Unknown,38,2092,0.018164435946462717
1966.0,Female,214,2478,0.08635996771589992
1966.0,Male,2124,2478,0.8571428571428571
1966.0,Unknown,140,2478,0.05649717514124294
1967.0,Female,259,2238,0.11572832886505809
1967.0,Male,1925,2238,0.8601429848078642
1967.0,Unknown,54,2238,0.024128686327077747
1968.0,Female,333,2371,0.14044706874736398
1968.0,Male,1924,2371,0.8114719527625475
1968.0,Unknown,114,2371,0.04808097849008857
1969.0,Female,177,2187,0.08093278463648834
1969.0,Male,1908,2187,0.8724279835390947
1969.0,Unknown,102,2187,0.04663923182441701
1970.0,Female,128,1933,0.06621831350232799
1970.0,Male,1762,1933,0.9115364718054837
1970.0,Unknown,43,1933,0.02224521469218831
1971.0,Female,108,2111,0.05116058739933681
1971.0,Male,1920,2111,0.9095215537659876
1971.0,Unknown,83,2111,0.039317858834675506
1972.0,Female,150,1642,0.09135200974421437
1972.0,Male,1444,1642,0.879415347137637
1972.0,Unknown,48,1642,0.029232643118148598
1973.0,Female,334,1698,0.1967020023557126
1973.0,Male,1347,1698,0.7932862190812721
1973.0,Unknown,17,1698,0.010011778563015312
1974.0,Female,175,1344,0.13020833333333334
1974.0,Male,1150,1344,0.8556547619047619
1974.0,Unknown,19,1344,0.014136904761904762
1975.0,Female,124,1052,0.11787072243346007
1975.0,Male,899,1052,0.8545627376425855
1975.0,Unknown,29,1052,0.027566539923954372
1976.0,Female,212,1448,0.1464088397790055
1976.0,Male,1169,1448,0.8073204419889503
1976.0,Unknown,67,1448,0.0462707182320442
1977.0,Female,139,1017,0.13667649950835792
1977.0,Male,782,1017,0.7689282202556539
1977.0,Unknown,96,1017,0.0943952802359882
1978.0,Female,218,1140,0.1912280701754386
1978.0,Male,855,1140,0.75
