year,Gender,count,total,share
1957.0,Unknown,13,272,0.04779411764705882
1958.0,Female,30,309,0.0970873786407767
1958.0,Male,265,309,0.8576051779935275
1958.0,Unknown,14,309,0.045307443365695796
1959.0,Female,29,311,0.0932475884244373
1959.0,Male,267,311,0.8585209003215434
1959.0,Unknown,15,311,0.04823151125401929
1960.0,Female,54,427,0.12646370023419204
1960.0,Male,356,427,0.8337236533957846
1960.0,Unknown,17,427,0.03981264637002342
1961.0,Female,29,380,0.07631578947368421
1961.0,Male,342,380,0.9
1961.0,Unknown,9,380,0.02368421052631579
1962.0,Female,49,515,0.09514563106796116
1962.0,Male,448,515,0.8699029126213592
1962.0,Unknown,18,515,0.03495145631067961
1963.0,Female,38,441,0.08616780045351474
1963.0,Male,390,441,0.8843537414965986
1963.0,Unknown,13,441,0.02947845804988662
1964.0,Female,54,522,0.10344827586206896
1964.0,Male,454,522,0.8697318007662835
1964.0,Unknown,14,522,0.02681992337164751
1965.0,Female,59,528,0.11174242424242424
1965.0,Male,452,528,0.8560606060606061
1965.0,Unknown,17,528,0.032196969696969696
1966.0,Female,51,527,0.0967741935483871
1966.0,Male,449,527,0.8519924098671727
1966.0,Unknown,27,527,0.051233396584440226
1967.0,Female,59,539,0.10946196660482375
1967.0,Male,453,539,0.8404452690166976
1967.0,Unknown,27,539,0.05009276437847866
1968.0,Female,65,577,0.11265164644714037
1968.0,Male,482,577,0.8353552859618717
1968.0,Unknown,30,577,0.05199306759098787
1969.0,Female,50,466,0.1072961373390558
1969.0,Male,394,466,0.8454935622317596
1969.0,Unknown,22,466,0.04721030042918455
1970.0,Female,54,475,0.11368421052631579
1970.0,Male,394,475,0.8294736842105264
1970.0,Unknown,27,475,0.056842105263157895
1971.0,Female,43,391,0.10997442455242967
1971.0,Male,317,391,0.8107416879795396
1971.0,Unknown,31,391,0.0792838874680307
1972.0,Female,65,478,0.13598326359832635
1972.0,Male,387,478,0.8096234309623431
1972.0,Unknown,26,478,0.05439330543933055
1973.0,Female,71,456,0.15570175438596492
1973.0,Male,372,456,0.8157894736842105
1973.0,Unknown,13,456,0.02850877192982456
1974.0,Female,69,370,0.1864864864864865
1974.0,Male,288,370,0.7783783783783784
1974.0,Unknown,13,370,0.03513513513513514
1975.0,Female,62,358,0.17318435754189945
1975.0,Male,277,358,0.7737430167597765
1975.0,Unknown,19,358,0.05307262569832402
1976.0,Female,82,405,0.20246913580246914
1976.0,Male,300,405,0.7407407407407407
1976.0,Unknown,23,405,0.056790123456790124
1977.0,Female,66,356,0.1853932584269663
1977.0,Male,270,356,0.7584269662921348
1977.0,Unknown,20,356,0.056179775280898875
1978.0,Female,76,395,0.19240506329113924
1978.0,Male,282,395,0.7139240506329114
1978.0,Unknown,37,395,0.09367088607594937
1979.0,Female,71,385,0.18441558441558442
1979.0,Male,285,385,0.7402597402597403
1979.0,Unknown,29,385,0.07532467532467532
1980.0,Female,67,394,0.1700507614213198
1980.0,Male,291,394,0.7385786802030457
1980.0,Unknown,36,394,0.09137055837563451
1981.0,Female,80,428,0.18691588785046728
1981.0,Male,322,428,0.7523364485981309
1981.0,Unknown,26,428,0.06074766355140187
1982.0,Female,57,353,0.16147308781869688
1982.0,Male,271,353,0.7677053824362606
1982.0,Unknown,25,353,0.0708215297450425
1983.0,Female,69,384,0.1796875
1983.0,Male,289,384,0.7526041666666666
1983.0,Unknown,26,384,0.06770833333333333
1984.0,Female,75,404,0.18564356435643564
1984.0,Male,300,404,0.7425742574257426
1984.0,Unknown,29,404,0.07178217821782178
1985.0,Female,61,327,0.18654434250764526
1985.0,Male,243,327,0.7431192660550459
1985.0,Unknown,23,327,0.07033639143730887
1986.0,Female,59,338,0.17455621301775148
1986.0,Male,256,338,0.757396449704142
1986.0,Unknown,23,338,0.06804733727810651
1987.0,Female,70,319,0.219435736677116
1987.0,Male,237,319,0.7429467084639498
1987.0,Unknown,12,319,0.03761755485893417
1988.0,Female,54,303,0.1782178217821782
1988.0,Male,227,303,0.7491749174917491
1988.0,Unknown,22,303,0.07260726072607261
1989.0,Female,68,345,0.19710144927536233
1989.0,Male,252,345,0.7304347826086957
1989.0,Unknown,25,345,0.07246376811594203
1990.0,Female,68,321,0.2118380062305296
1990.0,Male,228,321,0.7102803738317757
1990.0,Unknown,25,321,0.0778816199376947
1991.0,Female,63,333,0.1891891891891892
1991.0,Male,244,333,0.7327327327327328
1991.0,Unknown,26,333,0.07807807807807808
1992.0,Female,66,293,0.22525597269624573
1992.0,Male,205,293,0.6996587030716723
1992.0,Unknown,22,293,0.07508532423208192
1993.0,Female,75,282,0.26595744680851063
1993.0,Male,190,282,0.6737588652482269
1993.0,Unknown,17,282,0.06028368794326241
1994.0,Female,74,296,0.25
1994.0,Male,204,296,0.6891891891891891
1994.0,Unknown,18,296,0.060810810810810814
1995.0,Female,67,273,0.2454212454212454
1995.0,Male,183,273,0.6703296703296703
1995.0,Unknown,23,273,0.08424908424908426
1996.0,Female,82,299,0.27424749163879597
1996.0,Male,197,299,0.6588628762541806
1996.0,Unknown,20,299,0.06688963210702341
1997.0,Female,82,319,0.25705329153605017
1997.0,Male,212,319,0.664576802507837
1997.0,Unknown,25,319,0.07836990595611286
1998.0,Female,85,296,0.28716216216216217
1998.0,Male,184,296,0.6216216216216216
1998.0,Unknown,27,296,0.09121621621621621
1999.0,Female,81,280,0.2892857142857143
1999.0,Male,182,280,0.65
1999.0,Unknown,17,280,0.060714285714285714
2000.0,Female,97,423,0.2293144208037825
2000.0,Male,297,423,0.7021276595744681
2000.0,Unknown,29,423,0.06855791962174941
2001.0,Female,91,328,0.2774390243902439
2001.0,Male,210,328,0.6402439024390244
2001.0,Unknown,27,328,0.08231707317073171
2002.0,Female,109,413,0.2639225181598063
2002.0,Male,273,413,0.6610169491525424
2002.0,Unknown,31,413,0.07506053268765134
2003.0,Female,138,502,0.2749003984063745
2003.0,Male,328,502,0.6533864541832669
2003.0,Unknown,36,502,0.07171314741035857
2004.0,Female,126,419,0.30071599045346065
2004.0,Male,270,419,0.6443914081145584
2004.0,Unknown,23,419,0.05489260143198091
2005.0,Female,65,255,0.2549019607843137
2005.0,Male,169,255,0.6627450980392157
2005.0,Unknown,21,255,0.08235294117647059
2006.0,Female,65,233,0.27896995708154504
2006.0,Male,156,233,0.6695278969957081
2006.0,Unknown,12,233,0.05150214592274678
2007.0,Female,64,252,0.25396825396825395
2007.0,Male,176,252,0.6984126984126984
2007.0,Unknown,12,252,0.047619047619047616
2008.0,Female,67,259,0.25868725868725867
2008.0,Male,178,259,0.6872586872586872
2008.0,Unknown,14,259,0.05405405405405406
2009.0,Female,77,232,0.33189655172413796
2009.0,Male,138,232,0.5948275862068966
2009.0,Unknown,17,232,0.07327586206896551
2010.0,Female,55,181,0.30386740331491713
2010.0,Male,109,181,0.6022099447513812
2010.0,Unknown,17,181,0.09392265193370165
2011.0,Female,50,171,0.29239766081871343
2011.0,Male,110,171,0.6432748538011696
2011.0,Unknown,11,171,0.06432748538011696
2012.0,Female,54,204,0.2647058823529412
2012.0,Male,122,204,0.5980392156862745
2012.0,Unknown,28,204,0.13725490196078433
2013.0,Female,39,133,0.2932330827067669
2013.0,Male,83,133,0.6240601503759399
2013.0,Unknown,11,133,0.08270676691729323
2014.0,Female,29,105,0.2761904761904762
2014.0,Male,63,105,0.6
2014.0,Unknown,13,105,0.12380952380952381
2015.0,Female,31,95,0.3263157894736842
2015.0,Male,58,95,0.6105263157894737
2015.0,Unknown,6,95,0.06315789473684211
2016.0,Female,6,28,0.21428571428571427
2016.0,Male,16,28,0.5714285714285714
2016.0,Unknown,6,28,0.21428571428571427
2017.0,Female,2,2,1.0
