year,Department,Gender,count,total,share
1937.0,Photography,Female,1,5,0.2
1937.0,Photography,Male,4,5,0.8
1937.0,Prints & Illustrated Books,Male,2,2,1.0
1938.0,Architecture & Design,Female,1,9,0.1111111111111111
1938.0,Architecture & Design,Male,5,9,0.5555555555555556
1938.0,Architecture & Design,Unknown,3,9,0.3333333333333333
1938.0,Drawings,Male,2,2,1.0
1938.0,Film,Female,1,9,0.1111111111111111
1938.0,Film,Male,8,9,0.8888888888888888
1938.0,Painting & Sculpture,Female,1,15,0.06666666666666667
1938.0,Painting & Sculpture,Male,14,15,0.9333333333333333
1938.0,Photography,Female,1,23,0.043478260869565216
1938.0,Photography,Male,19,23,0.8260869565217391
1938.0,Photography,Unknown,3,23,0.13043478260869565
1938.0,Prints & Illustrated Books,Male,1,1,1.0
1939.0,Architecture & Design,Male,8,10,0.8
1939.0,Architecture & Design,Unknown,2,10,0.2
1939.0,Drawings,Female,1,17,0.058823529411764705
1939.0,Drawings,Male,16,17,0.9411764705882353
1939.0,Film,Male,6,7,0.8571428571428571
1939.0,Film,Unknown,1,7,0.14285714285714285
1939.0,Painting & Sculpture,Female,1,42,0.023809523809523808
1939.0,Painting & Sculpture,Male,41,42,0.9761904761904762
1939.0,Photography,Female,1,6,0.16666666666666666
1939.0,Photography,Male,5,6,0.8333333333333334
1939.0,Prints & Illustrated Books,Female,1,11,0.09090909090909091
1939.0,Prints & Illustrated Books,Male,10,11,0.9090909090909091
1940.0,Architecture & Design,Male,30,51,0.5882352941176471
1940.0,Architecture & Design,Unknown,21,51,0.4117647058823529
1940.0,Drawings,Female,2,28,0.07142857142857142
1940.0,Drawings,Male,26,28,0.9285714285714286
1940.0,Film,Male,5,5,1.0
1940.0,Painting & Sculpture,Female,1,14,0.07142857142857142
1940.0,Painting & Sculpture,Male,13,14,0.9285714285714286
1940.0,Photography,Female,3,13,0.23076923076923078
1940.0,Photography,Male,10,13,0.7692307692307693
1940.0,Prints & Illustrated Books,Female,19,169,0.11242603550295859
1940.0,Prints & Illustrated Books,Male,144,169,0.8520710059171598
1940.0,Prints & Illustrated Books,Unknown,6,169,0.03550295857988166
1941.0,Architecture & Design,Male,6,10,0.6
1941.0,Architecture & Design,Unknown,4,10,0.4
1941.0,Drawings,Female,3,27,0.1111111111111111
1941.0,Drawings,Male,24,27,0.8888888888888888
1941.0,Film,Male,1,1,1.0
1941.0,Painting & Sculpture,Female,3,41,0.07317073170731707
1941.0,Painting & Sculpture,Male,38,41,0.926829268292683
1941.0,Photography,Female,17,111,0.15315315315315314
1941.0,Photography,Male,84,111,0.7567567567567568
1941.0,Photography,Unknown,10,111,0.09009009009009009
1941.0,Prints & Illustrated Books,Female,8,25,0.32
1941.0,Prints & Illustrated Books,Male,16,25,0.64
1941.0,Prints & Illustrated Books,Unknown,1,25,0.04
1942.0,Architecture & Design,Female,4,21,0.19047619047619047
1942.0,Architecture & Design,Male,10,21,0.47619047619047616
1942.0,Architecture & Design,Unknown,7,21,0.3333333333333333
